id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-behind-body-cable-curl,Behind-Body Cable Curl,Bayesian curl,Cable,Supinated elbow flexion,unilateral,external,"One low pulley behind body, upper arm slightly extended; supinated curl.",Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls. Matched-profile cable curl research found growth in both biceps and brachialis without a clear shoulder-position advantage; the study does not validate the fractional ratio.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,anatomy-upper | elbow | curl-position,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-high-cable-curl,High-Cable Curl,Double-biceps cable curl,Cable,Supinated elbow flexion,bilateral,external,Upper arms raised to sides at shoulder height; curl handles toward temples.,Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-preacher-curl,Cable Preacher Curl,,Cable,Supinated elbow flexion,bilateral,external,Upper arms supported on preacher pad; low cable resists elbow flexion.,Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls. Matched-profile cable curl research found growth in both biceps and brachialis without a clear shoulder-position advantage; the study does not validate the fractional ratio.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,anatomy-upper | elbow | curl-position,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-arm-curl-machine,Seated Arm-Curl Machine,,Selectorized machine,Supinated elbow flexion,bilateral,external,"Upper arms beside torso on supports; pivot aligned with elbows, distinct from preacher angle.",Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-supinated-curl,Band Supinated Curl,,Resistance band,Supinated elbow flexion,bilateral,external,"Stand on band, palms up; curl through rising resistance.",Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cross-body-hammer-curl,Cross-Body Hammer Curl,,Dumbbell,Neutral-grip elbow flexion,alternating,external,Neutral hand; curl across torso toward opposite shoulder with minimal shoulder movement.,Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-incline-dumbbell-hammer-curl,Incline Dumbbell Hammer Curl,Incline DB Hammer Curl,Dumbbell,Neutral-grip elbow flexion,bilateral,external,"Reclined bench, arms behind trunk line, neutral grip.",Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-rope-hammer-curl,Rope Hammer Curl,,Cable,Neutral-grip elbow flexion,bilateral,external,Low pulley ahead; palms face each other on rope ends.,Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-hammer-preacher-curl,Cable Hammer Preacher Curl,,Cable,Neutral-grip elbow flexion,bilateral,external,Neutral grip with upper arm braced on preacher pad.,Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-swiss-bar-hammer-curl,Swiss-Bar Hammer Curl,,Specialty bar,Neutral-grip elbow flexion,bilateral,external,Neutral parallel grips on multi-grip bar; elbows near sides.,Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-hammer-curl,Band Hammer Curl,,Resistance band,Neutral-grip elbow flexion,bilateral,external,Stand on band and grasp neutral handles; controlled elbow flexion.,Brachialis,Brachialis | Biceps (Brachii) | Brachioradial.,Brachialis=1 | Biceps (Brachii)=0.5 | Brachioradial.=0.5,Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established.,medium,Brachialis=medium | Biceps (Brachii)=medium | Brachioradial.=medium,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-reverse-curl,Barbell Reverse Curl,BB Reverse Curl,Barbell,Pronated elbow flexion,bilateral,external,"Overhand grip, upper arms near sides; wrist stays neutral.",Brachioradial.,Brachioradial. | Brachialis | Biceps (Brachii),Brachioradial.=1 | Brachialis=0.5 | Biceps (Brachii)=0.25,Pronation reduces biceps mechanical advantage; brachioradialis is designated the target while brachialis still flexes the elbow. Wrist stabilization alone is not counted.,low,Brachioradial.=low | Brachialis=low | Biceps (Brachii)=low,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-ez-bar-reverse-curl,EZ-Bar Reverse Curl,,Specialty bar,Pronated elbow flexion,bilateral,external,Angled pronated grip; upper arms near sides.,Brachioradial.,Brachioradial. | Brachialis | Biceps (Brachii),Brachioradial.=1 | Brachialis=0.5 | Biceps (Brachii)=0.25,Pronation reduces biceps mechanical advantage; brachioradialis is designated the target while brachialis still flexes the elbow. Wrist stabilization alone is not counted.,low,Brachioradial.=low | Brachialis=low | Biceps (Brachii)=low,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-reverse-curl,Cable Reverse Curl,,Cable,Pronated elbow flexion,bilateral,external,Low pulley and pronated straight bar; no wrist curl.,Brachioradial.,Brachioradial. | Brachialis | Biceps (Brachii),Brachioradial.=1 | Brachialis=0.5 | Biceps (Brachii)=0.25,Pronation reduces biceps mechanical advantage; brachioradialis is designated the target while brachialis still flexes the elbow. Wrist stabilization alone is not counted.,low,Brachioradial.=low | Brachialis=low | Biceps (Brachii)=low,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-reverse-curl,Dumbbell Reverse Curl,DB Reverse Curl,Dumbbell,Pronated elbow flexion,bilateral,external,Palms down throughout; upper arms stay beside torso.,Brachioradial.,Brachioradial. | Brachialis | Biceps (Brachii),Brachioradial.=1 | Brachialis=0.5 | Biceps (Brachii)=0.25,Pronation reduces biceps mechanical advantage; brachioradialis is designated the target while brachialis still flexes the elbow. Wrist stabilization alone is not counted.,low,Brachioradial.=low | Brachialis=low | Biceps (Brachii)=low,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-zottman-curl,Zottman Curl,,Dumbbell,Pronated elbow flexion,bilateral,external,"Supinate on upward curl, rotate to pronation for controlled lowering; both phases share one set.",Brachioradial.,Brachioradial. | Brachialis | Biceps (Brachii),Brachioradial.=1 | Brachialis=0.5 | Biceps (Brachii)=0.25,Pronation reduces biceps mechanical advantage; brachioradialis is designated the target while brachialis still flexes the elbow. Wrist stabilization alone is not counted.,low,Brachioradial.=low | Brachialis=low | Biceps (Brachii)=low,anatomy-upper | elbow,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-close-grip-barbell-bench-press,Close-Grip Barbell Bench Press,Close-grip bench press | Close-Grip BB Bench Press,Barbell,Elbow-extension biased press,bilateral,external,"Hands near shoulder width; elbows tucked, press from lower chest.",Triceps,Triceps | Chest (pec major) | Anterior Delts,Triceps=1 | Chest (pec major)=0.5 | Anterior Delts=0.25,Close elbow path emphasizes loaded elbow extension; chest and anterior deltoid still move the upper arm. Full triceps credit is an anatomical inference for this specified technique.,medium,Triceps=medium | Chest (pec major)=medium | Anterior Delts=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-smith-close-grip-bench-press,Smith Close-Grip Bench Press,,Smith machine,Elbow-extension biased press,bilateral,external,Flat bench; shoulder-width grip and tucked elbow path.,Triceps,Triceps | Chest (pec major) | Anterior Delts,Triceps=1 | Chest (pec major)=0.5 | Anterior Delts=0.25,Close elbow path emphasizes loaded elbow extension; chest and anterior deltoid still move the upper arm. Full triceps credit is an anatomical inference for this specified technique.,medium,Triceps=medium | Chest (pec major)=medium | Anterior Delts=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-neutral-grip-dumbbell-floor-press,Neutral-Grip Dumbbell Floor Press,Neutral-Grip DB Floor Press,Dumbbell,Elbow-extension biased press,bilateral,external,Palms face each other and elbows tucked; floor limits shoulder extension.,Triceps,Triceps | Chest (pec major) | Anterior Delts,Triceps=1 | Chest (pec major)=0.5 | Anterior Delts=0.25,Close elbow path emphasizes loaded elbow extension; chest and anterior deltoid still move the upper arm. Full triceps credit is an anatomical inference for this specified technique.,medium,Triceps=medium | Chest (pec major)=medium | Anterior Delts=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-lying-dumbbell-triceps-extension,Lying Dumbbell Triceps Extension,Dumbbell skull crusher | Lying DB Triceps Extension,Dumbbell,Elbow extension,bilateral,external,"Flat bench; upper arms near vertical, bend and straighten elbows.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-dumbbell-overhead-triceps-extension,Seated Dumbbell Overhead Triceps Extension,French press with dumbbell | Seated DB Overhead Triceps Extension,Dumbbell,Elbow extension,bilateral,external,Both hands hold one bell overhead; keep upper arms elevated.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-dumbbell-overhead-extension,Single-Arm Dumbbell Overhead Extension,Single-Arm DB Overhead Extension,Dumbbell,Elbow extension,unilateral,external,"One upper arm overhead, elbow flexes behind head within comfortable ROM.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-triceps-kickback,Dumbbell Triceps Kickback,DB Triceps Kickback,Dumbbell,Elbow extension,unilateral,external,"Upper arm held beside inclined torso, elbow extends behind body.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-ez-bar-lying-triceps-extension,EZ-Bar Lying Triceps Extension,EZ-bar skull crusher,Specialty bar,Elbow extension,bilateral,external,"Supine bench; upper arms slightly behind vertical, flex elbows toward forehead.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-ez-bar-incline-triceps-extension,EZ-Bar Incline Triceps Extension,,Specialty bar,Elbow extension,bilateral,external,"Inclined bench, upper arms overhead relative to torso; elbow extension.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-lying-triceps-extension,Barbell Lying Triceps Extension,Barbell skull crusher | BB Lying Triceps Extension,Barbell,Elbow extension,bilateral,external,"Supine flat bench, shoulder-width grip; elbows flex near forehead.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-cable-pushdown,Single-Arm Cable Pushdown,,Cable,Elbow extension,unilateral,external,"One handle at high pulley, upper arm beside trunk; extend elbow.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-single-arm-overhead-cable-extension,Single-Arm Overhead Cable Extension,,Cable,Elbow extension,unilateral,external,One low or mid pulley behind; upper arm elevated; elbow extension.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-cross-body-cable-triceps-extension,Cross-Body Cable Triceps Extension,,Cable,Elbow extension,unilateral,external,High cable across torso; upper arm slightly abducted and held still.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-cable-triceps-kickback,Cable Triceps Kickback,,Cable,Elbow extension,unilateral,external,Low pulley ahead; upper arm near horizontal behind trunk line; extend elbow.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-lying-cable-triceps-extension,Lying Cable Triceps Extension,,Cable,Elbow extension,bilateral,external,Flat bench with cable behind head; extend elbows with upper arms elevated.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-triceps-extension-machine,Seated Triceps Extension Machine,,Selectorized machine,Elbow extension,bilateral,external,Upper arms rest on forward pad; elbow pivot aligned; extend forearms.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-lever-dip-press,Seated Lever Dip Press,,Plate-loaded machine,Elbow-extension biased press,bilateral,external,"Upright supported torso; press handles down with elbows tucked, substantial elbow extension.",Triceps,Triceps | Chest (pec major) | Anterior Delts,Triceps=1 | Chest (pec major)=0.5 | Anterior Delts=0.25,Close elbow path emphasizes loaded elbow extension; chest and anterior deltoid still move the upper arm. Full triceps credit is an anatomical inference for this specified technique.,medium,Triceps=medium | Chest (pec major)=medium | Anterior Delts=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-triceps-pushdown,Band Triceps Pushdown,,Resistance band,Elbow extension,bilateral,external,"High anchor, elbows beside torso; extend against rising band tension.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-overhead-triceps-extension,Band Overhead Triceps Extension,,Resistance band,Elbow extension,bilateral,external,"Anchor behind, upper arms overhead, bend and extend elbows.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-bodyweight-triceps-extension,Bodyweight Triceps Extension,Bodyweight skull crusher,Bodyweight,Elbow extension,bilateral,bodyweight,"Hands on fixed waist-height bar; rigid torso, bend elbows to bring forehead toward hands.",Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-suspension-triceps-extension,Suspension Triceps Extension,,Bodyweight,Elbow extension,bilateral,bodyweight,Hands in suspension handles; lean forward and flex/extend elbows while shoulders stay set.,Triceps,Triceps,Triceps=1,Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit.,medium,Triceps=medium,anatomy-upper | triceps,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-high-bar-back-squat,High-Bar Back Squat,High-bar squat,Barbell,Deep hip-and-knee extension,bilateral,external,"Bar on upper traps; descend below parallel as controlled mobility allows, with substantial hip and knee flexion.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-front-squat,Front Squat,Barbell front squat,Barbell,Deep hip-and-knee extension,bilateral,external,Front rack; deep controlled knee/hip flexion with upright torso.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-low-bar-back-squat,Low-Bar Back Squat,Low-bar squat,Barbell,Squat / knee-dominant press,bilateral,external,"Bar across rear deltoids, moderate stance; descend to at least parallel, greater torso inclination.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-box-squat,Barbell Box Squat,BB Box Squat,Barbell,Squat / knee-dominant press,bilateral,external,"Sit back to box near parallel under control, pause without relaxing trunk, then stand.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-goblet-squat,Dumbbell Goblet Squat,DB Goblet Squat,Dumbbell,Deep hip-and-knee extension,bilateral,external,"One bell held at chest; deep controlled squat, whole foot supported.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-double-dumbbell-front-squat,Double-Dumbbell Front Squat,Double-DB Front Squat,Dumbbell,Deep hip-and-knee extension,bilateral,external,Bells at shoulders; deep controlled squat with upright trunk.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-double-kettlebell-front-squat,Double-Kettlebell Front Squat,Double-KB Front Squat,Kettlebell,Deep hip-and-knee extension,bilateral,external,"Two bells in rack, descend into deep squat.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-kettlebell-goblet-squat,Kettlebell Goblet Squat,KB Goblet Squat,Kettlebell,Deep hip-and-knee extension,bilateral,external,Bell held by horns at chest; deep squat with full-foot support.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-safety-bar-squat,Safety-Bar Squat,SSB squat,Specialty bar,Deep hip-and-knee extension,bilateral,external,"Padded yoke on shoulders, handles ahead; deep squat without pulling on handles.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-zercher-squat,Zercher Squat,,Specialty bar,Deep hip-and-knee extension,bilateral,external,Bar cradled in elbow crooks; controlled deep squat.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=1 | Adductors=0.5,Substantial knee and hip excursion loads quads and glute max as prime movers; adductor magnus assists hip extension. Full glute credit is conditional on the specified deep ROM.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-smith-squat,Smith Squat,,Smith machine,Squat / knee-dominant press,bilateral,external,"Feet modestly ahead of fixed bar, descend to parallel with controlled knee tracking.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-smith-heel-elevated-squat,Smith Heel-Elevated Squat,,Smith machine,Squat / knee-dominant press,bilateral,external,"Heels on stable wedge, upright torso, knees travel forward through comfortable ROM.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
